"","otu","Size","kingdom","phylum","class","order","family","genus","species","Parent.isolate","Isolate","Treat","Rep","Media"
"68","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","185","Rh185","P",29,"GYRBA"
"69","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","234","Rh234","F",26,"PDA"
"70","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","235","Rh235","F",26,"PDA"
"71","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","237","Rh237","P",30,"GYRBA"
"72","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","245","Rh245","P",31,"PDAm"
"73","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","246","Rh246","P",31,"PDAm"
"74","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","252","Rh252","P",7,"MGA"
"75","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","254","Rh254","S",10,"PDAm"
"76","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","256","Rh256","F",9,"PDAm"
"77","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","274","Rh274","F",20,"PDAm"
"78","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","276","Rh276","F",20,"PDA"
"79","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","277","Rh277","F",20,"PDA"
"80","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","280","Rh280","S",21,"PVARP"
"81","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","284","Rh284_2","F",21,"PDAm"
"82","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","287","Rh287","P",7,"GYRBA"
"83","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","288","Rh288","P",7,"GYRBA"
"84","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","289","Rh289","P",7,"GYRBA"
"85","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","293","Rh293_1","F",18,"PDAm"
"86","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","307","Rh307","S",28,"PVARP"
"87","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","308","Rh308","S",28,"PDAm"
"88","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","309","Rh309","S",28,"PDAm"
"89","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","310","Rh310","F",35,"PDAm"
"90","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","311","Rh311","F",35,"PDAm"
"91","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","317","Rh317_2","F",37,"PDAm"
"92","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","362","Rh362","S",32,"MGA"
"93","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","381","Rh381","S",32,"GYRBA"
"94","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","387","Rh387","S",35,"PDA"
"95","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","413","Rh413","F",35,"GYRBA"
"96","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","426","Rh426","P",36,"PDA"
"97","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","437","Rh437","P",19,""
"98","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","444","Rh444","F",35,""
"99","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","284","Rh284_1","F",21,"PDAm"
"100","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","299","Rh299","F",14,"GYRBA"
"101","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","302","Rh302","F",18,"GYRBA"
"102","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","324","Rh324_2","S",36,"PDAm"
"103","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","331","Rh331","F",25,"PDAm"
"104","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","357","Rh357","F",21,"PDA"
"105","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","361","Rh361","P",16,"PDAm"
"106","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","369","Rh369_1","F",26,"PDAm"
"107","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","414","Rh414","F",35,"GYRBA"
"108","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","415","Rh415","F",35,"GYRBA"
"109","Otu03",12,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotremataceae_sp","Lophiotremataceae_sp","443","Rh443","F",35,""
"110","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","130","Rh130","P",10,"PDAm"
"111","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","138","Rh138","S",14,"PDA"
"112","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","178","Rh178","S",27,"PDAm"
"113","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","275","Rh275","F",20,"PDAm"
"114","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","304","Rh304_2","S",21,"PDAm"
"115","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","320","Rh320","S",35,"PDA"
"116","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","321","Rh321","S",35,"PDA"
"117","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","346","Rh346","F",9,"PDA"
"118","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","371","Rh371","F",26,"PDAm"
